country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio,continent,vaccination_rate,death_rate_per_million,country_avg_vaccination_rate,country_avg_death_rate,continent_avg_vaccination_rate,continent_avg_death_rate
Afghanistan,AFG,2021-05-11,504502.0,448878.0,55624.0,12,40146987.0,1.1180863958732443,Asia,0.1385508705796527,0.29890163363940614,0.41021406721080744,1.0813206158131456,23.2444639828785,1.6257203533003144
Afghanistan,AFG,2021-05-20,547901.0,470341.0,77560.0,10,40146987.0,1.1715474438965991,Asia,0.19319008920893616,0.2490846946995051,0.41021406721080744,1.0813206158131456,23.2444639828785,1.6257203533003144
Afghanistan,AFG,2021-05-24,573277.0,476367.0,96910.0,10,40146987.0,1.1865572875991914,Asia,0.2413879776332904,0.2490846946995051,0.41021406721080744,1.0813206158131456,23.2444639828785,1.6257203533003144
Afghanistan,AFG,2021-05-26,590454.0,479372.0,111082.0,19,40146987.0,1.1940422826749115,Asia,0.27668826056610424,0.47326091992905966,0.41021406721080744,1.0813206158131456,23.2444639828785,1.6257203533003144
Afghanistan,AFG,2021-05-27,593313.0,479574.0,113739.0,14,40146987.0,1.1945454337582044,Asia,0.2833064409042701,0.34871857257930716,0.41021406721080744,1.0813206158131456,23.2444639828785,1.6257203533003144
Afghanistan,AFG,2021-05-30,600152.0,480226.0,119926.0,20,40146987.0,1.1961694659676454,Asia,0.2987173109653285,0.4981693893990102,0.41021406721080744,1.0813206158131456,23.2444639828785,1.6257203533003144
Afghanistan,AFG,2021-06-02,626290.0,481690.0,144600.0,34,40146987.0,1.199816065898046,Asia,0.36017646853548435,0.8468879619783173,0.41021406721080744,1.0813206158131456,23.2444639828785,1.6257203533003144
Afghanistan,AFG,2021-06-03,630305.0,481800.0,148505.0,27,40146987.0,1.2000900590622154,Asia,0.3699032258635,0.6725286756886638,0.41021406721080744,1.0813206158131456,23.2444639828785,1.6257203533003144
Afghanistan,AFG,2021-06-08,641295.0,482952.0,158343.0,64,40146987.0,1.2029595147451535,Asia,0.3944081781280373,1.5941420460768325,0.41021406721080744,1.0813206158131456,23.2444639828785,1.6257203533003144
Afghanistan,AFG,2021-06-14,662003.0,484737.0,177266.0,85,40146987.0,1.20740567654554,Asia,0.4415424749060247,2.1172199049457934,0.41021406721080744,1.0813206158131456,23.2444639828785,1.6257203533003144
